trade_id,portfolio,counterparty,typology,asset_class,currency,notional,trade_date,maturity_date,market_value,past_cash,future_cash,settled_cash,pnl,dv01_par,dv01_zero,fx_delta,eq_delta,vega,theta,gamma
MX0000014,FLOW_IR_GBP,BARCLAYS,IRS,IR,GBP,46000000,2024-01-10,2028-01-10,690000,800,1500,600,690800,1840,1858.4,0,0,0,0,0
MX0000015,MISC_BOOK,UBS,IRS,IR,EUR,10000000,2024-02-14,2027-02-14,250000,300,1800,200,252100,300,303,0,0,0,0,0
MX0000016,FLOW_FX_G10,GOLDMAN_SACHS,FX_Option,FX,USD,30000000,2024-06-01,2026-06-01,600000,500,2000,300,602500,0,0,3000000,0,36000,-12000,600
MX0000017,FLOW_IR_EUR,JPMORGAN,IRS,IR,EUR,60000000,2024-03-15,2029-03-15,1800000,1200,3400,1000,1801200,3000,3060,0,0,0,0,0
MX0000018,FLOW_IR_USD,BOFA,IRS,IR,USD,90000000,2024-05-10,2032-05-10,1800000,900,2500,700,1803400,5400,5616,0,0,0,0,0
MX0000019,EXOTIC_FX,NOMURA,FX_Barrier_Option,FX,EUR,15000000,2024-07-01,2026-01-01,600000,0,3000,0,603000,0,0,1800000,0,22500,-7500,450
MX0000020,FLOW_FX_EM,CITIBANK,FX_Swap,FX,JPY,32000000,2024-08-05,2025-08-05,640000,500,256000,96000,896500,0,0,2560000,0,0,0,0
MX0000021,MISC_BOOK,UBS,EQ_Forward,EQ,EUR,20000000,2024-02-14,2027-02-14,500000,300,1800,200,502100,0,0,0,0,0,0,0
MX0000022,FLOW_FX_G10,HSBC,FX_Forward,FX,USD,52000000,2024-04-20,2025-10-20,520000,200,4000,150,524200,0,0,7800000,0,0,0,0
MX0000023,FLOW_IR_GBP,BARCLAYS,IRS,IR,GBP,38000000,2024-01-10,2028-01-10,570000,800,1500,600,570800,1520,1535.2,0,0,0,0,0
MX0000024,FLOW_IR_GBP,NATWEST,IRS,IR,GBP,45000000,2024-02-20,2027-02-20,1125000,900,2200,700,1125900,2250,2295,0,0,0,0,0
MX0000025,FLOW_FX_G10,GOLDMAN_SACHS,FX_Option,FX,USD,25000000,2024-06-01,2026-06-01,500000,500,2000,300,502500,0,0,2500000,0,30000,-10000,500
MX0000026,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000027,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000028,FLOW_IR_EUR,JPMORGAN,IRS,IR,EUR,110000000,2024-03-15,2029-03-15,3300000,1200,3400,1000,3301200,5500,5610,0,0,0,0,0
MX0000029,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000030,FLOW_IR_EUR,JPMORGAN,IRS,IR,EUR,100000000,2024-03-15,2029-03-15,3000000,1200,3400,1000,3001200,5000,5100,0,0,0,0,0
MX0000031,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000032,VOL_FX,DEUTSCHE_BANK,FX_Option,FX,EUR,24000000,2024-09-15,2025-09-15,360000,100,1500,80,361600,0,0,2160000,0,24000,-8400,240
MX0000033,EXOTIC_IR_EUR,MIZUHO,IRS,IR,CHF,120000000,2024-11-01,2030-11-01,1200000,400,5000,350,1205400,4800,4848,0,0,0,0,0
MX0000034,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000035,MISC_BOOK,UBS,Bond,IR,EUR,30000000,2024-02-14,2027-02-14,750000,300,1800,200,752100,900,909,0,0,0,0,0
MX0000036,FLOW_IR_GBP,NATWEST,IRS,IR,GBP,65000000,2024-02-20,2027-02-20,1625000,900,2200,700,1625900,3250,3315,0,0,0,0,0
MX0000037,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000038,MISC_BOOK,UBS,COM_Swap,COM,EUR,25000000,2024-02-14,2027-02-14,625000,300,1800,200,627100,0,0,0,0,0,0,0
MX0000039,FLOW_IR_EUR,JPMORGAN,IRS,IR,EUR,120000000,2024-03-15,2029-03-15,3600000,1200,3400,1000,3601200,6000,6120,0,0,0,0,0
MX0000040,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000041,FLOW_FX_EM,CITIBANK,FX_Swap,FX,JPY,25000000,2024-08-05,2025-08-05,500000,500,200000,75000,700500,0,0,2000000,0,0,0,0
MX0000042,EXOTIC_FX,NOMURA,FX_Barrier_Option,FX,EUR,20000000,2024-07-01,2026-01-01,800000,0,3000,0,803000,0,0,2400000,0,30000,-10000,600
MX0000043,FLOW_FX_G10,GOLDMAN_SACHS,FX_Option,FX,USD,20000000,2024-06-01,2026-06-01,400000,500,2000,300,402500,0,0,2000000,0,24000,-8000,400
MX0000044,FLOW_FX_EM,CITIBANK,FX_Swap,FX,JPY,53000000,2024-08-05,2025-08-05,1060000,500,424000,159000,1484500,0,0,4240000,0,0,0,0
MX0000045,FLOW_IR_EUR,JPMORGAN,IRS,IR,EUR,50000000,2024-03-15,2029-03-15,1500000,1200,3400,1000,1501200,2500,2550,0,0,0,0,0
MX0000046,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000047,FLOW_IR_GBP,BARCLAYS,Bond,IR,GBP,62000000,2024-01-10,2028-01-10,930000,800,1500,600,930800,2480,2504.8,0,0,0,0,0
MX0000048,FLOW_IR_USD,BOFA,IRS,IR,USD,60000000,2024-05-10,2032-05-10,1200000,900,2500,700,1203400,3600,3744,0,0,0,0,0
MX0000049,FLOW_FX_G10,HSBC,FX_Forward,FX,USD,76000000,2024-04-20,2025-10-20,760000,200,4000,150,764200,0,0,11400000,0,0,0,0
MX0000050,FLOW_EQ_G10,GOLDMAN_SACHS,EQ_Option,EQ,USD,40000000,2024-06-01,2026-06-01,800000,500,2000,300,802500,0,0,0,8000000,48000,-16000,800
MX0000051,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000052,FLOW_IR_EUR,JPMORGAN,IRS,IR,EUR,70000000,2024-03-15,2029-03-15,2100000,1200,3400,1000,2101200,3500,3570,0,0,0,0,0
MX0000053,MISC_BOOK,UBS,FX_Forward,FX,EUR,15000000,2024-02-14,2027-02-14,375000,300,1800,200,377100,0,0,0,0,0,0,0
MX0000054,FLOW_IR_EUR,JPMORGAN,IRS,IR,EUR,90000000,2024-03-15,2029-03-15,2700000,1200,3400,1000,2701200,4500,4590,0,0,0,0,0
MX0000055,FLOW_EQ_G10,GOLDMAN_SACHS,EQ_Option,EQ,USD,35000000,2024-06-01,2026-06-01,700000,500,2000,300,702500,0,0,0,7000000,42000,-14000,700
MX0000056,FLOW_IR_GBP,BARCLAYS,Bond,IR,GBP,54000000,2024-01-10,2028-01-10,810000,800,1500,600,810800,2160,2181.6,0,0,0,0,0
MX0000057,FLOW_FX_G10,HSBC,FX_Forward,FX,USD,88000000,2024-04-20,2025-10-20,880000,200,4000,150,884200,0,0,13200000,0,0,0,0
MX0000058,FLOW_FX_EM,CITIBANK,FX_Swap,FX,JPY,39000000,2024-08-05,2025-08-05,780000,500,312000,117000,1092500,0,0,3120000,0,0,0,0
MX0000059,EXOTIC_IR_EUR,MIZUHO,IRS,IR,CHF,80000000,2024-11-01,2030-11-01,800000,400,5000,350,805400,3200,3232,0,0,0,0,0
MX0000060,VOL_FX,DEUTSCHE_BANK,FX_Option,FX,EUR,30000000,2024-09-15,2025-09-15,450000,100,1500,80,451600,0,0,2700000,0,30000,-10500,300
MX0000061,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000062,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000063,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000064,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000065,FLOW_IR_USD,BOFA,IRS,IR,USD,105000000,2024-05-10,2032-05-10,2100000,900,2500,700,2103400,6300,6552,0,0,0,0,0
MX0000066,VOL_EQ,DEUTSCHE_BANK,EQ_Option,EQ,EUR,36000000,2024-09-15,2025-09-15,540000,100,1500,80,541600,0,0,0,6480000,36000,-12600,360
MX0000067,VOL_EQ,DEUTSCHE_BANK,EQ_Option,EQ,EUR,42000000,2024-09-15,2025-09-15,630000,100,1500,80,631600,0,0,0,7560000,42000,-14700,420
MX0000068,FLOW_IR_GBP,NATWEST,IRS,IR,GBP,55000000,2024-02-20,2027-02-20,1375000,900,2200,700,1375900,2750,2805,0,0,0,0,0
MX0000069,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000070,FLOW_IR_GBP,NATWEST,IRS,IR,GBP,75000000,2024-02-20,2027-02-20,1875000,900,2200,700,1875900,3750,3825,0,0,0,0,0
MX0000071,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000072,VOL_FX,DEUTSCHE_BANK,FX_Option,FX,EUR,18000000,2024-09-15,2025-09-15,270000,100,1500,80,271600,0,0,1620000,0,18000,-6300,180
MX0000073,FLOW_IR_USD,BOFA,IRS,IR,USD,75000000,2024-05-10,2032-05-10,1500000,900,2500,700,1503400,4500,4680,0,0,0,0,0
MX0000074,EXOTIC_IR_EUR,MIZUHO,IRS,IR,CHF,100000000,2024-11-01,2030-11-01,1000000,400,5000,350,1005400,4000,4040,0,0,0,0,0
MX0000075,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000076,MISC_BOOK,UBS,Deposit,IR,EUR,35000000,2024-02-14,2027-02-14,875000,300,1800,200,877100,1050,1060.5,0,0,0,0,0
